GRAMEENS2,01-01-2019,12,12.3,12,12.2,76119,,
GREENDELMF,01-01-2019,7.5,7.6,7.5,7.5,3836,,
GREENDELT,01-01-2019,62,62.2,62,62.1,900,,
GSPFINANCE,01-01-2019,20.4,20.9,20.3,20.8,601988,,
HAKKANIPUL,01-01-2019,75.9,80.9,73.9,75.3,50526,,
HEIDELBCEM,01-01-2019,336.7,339.9,335.5,338,4155,,
HFL,01-01-2019,23.5,24,23.3,23.8,65362,,
HRTEX,01-01-2019,45,46,44.2,45.6,249263,,
HWAWELLTEX,01-01-2019,38.2,38.2,37.5,37.6,1100,,
IBBLPBOND,01-01-2019,940,942,940,940.5,146,,
IBNSINA,01-01-2019,251.6,262,251.1,259.9,67025,,
IBP,01-01-2019,32.1,34,31.3,33.9,1694285,,
ICB,01-01-2019,118,118.9,116.8,117.4,45622,,
ICB3RDNRB,01-01-2019,5.5,5.5,5.4,5.4,18550,,
ICBAGRANI1,01-01-2019,6.9,6.9,6.9,6.9,3500,,
ICBAMCL2ND,01-01-2019,6.3,6.3,6.3,6.3,5640,,
ICBEPMF1S1,01-01-2019,5.5,5.5,5.3,5.4,12800,,
ICBIBANK,01-01-2019,5,5,4.8,5,358452,,
IDLC,01-01-2019,69.4,72,69.4,71.4,471012,,
IFADAUTOS,01-01-2019,107.7,110.7,107.4,109,1806649,,
IFIC,01-01-2019,11,11.5,11,11.5,2215273,,
IFIC1STMF,01-01-2019,4.2,4.3,4.2,4.2,27921,,
IFILISLMF1,01-01-2019,6.8,6.9,6.8,6.8,28865,,
ILFSL,01-01-2019,13.8,14.1,13.8,14,1123063,,
IMAMBUTTON,01-01-2019,31.8,31.8,28.8,29.1,631,,
INTECH,01-01-2019,57.4,58.7,56.2,57.8,519780,,
INTRACO,01-01-2019,27.3,28,27,27.8,376093,,
IPDC,01-01-2019,38.1,39.9,38.1,38.6,753651,,
ISLAMIBANK,01-01-2019,24.3,24.8,24.2,24.5,365512,,
ISLAMICFIN,01-01-2019,17.3,17.5,17.2,17.4,265740,,
